Vegetation Type;CO2;Cal_per_hr
Dune fynbos-thicket mos.;400;43
Dune fynbos-thicket mos.;300;32,83214777
Dune fynbos-thicket mos.;240;25,94050482
Dune fynbos-thicket mos.;180;18,45566315
Dune fynbos-thicket mos.;400;212
Dune fynbos-thicket mos.;300;161,8701239
Dune fynbos-thicket mos.;240;127,8927214
Dune fynbos-thicket mos.;180;90,99071134
Dune fynbos-thicket mos.;400;12
Dune fynbos-thicket mos.;300;9,162459844
Dune fynbos-thicket mos.;240;7,239210647
Dune fynbos-thicket mos.;180;5,150417623
Dune fynbos-thicket mos.;400;66
Dune fynbos-thicket mos.;300;50,39352914
Dune fynbos-thicket mos.;240;39,81565856
Dune fynbos-thicket mos.;180;28,32729693
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;28
Dune fynbos-thicket mos.;300;21,37907297
Dune fynbos-thicket mos.;240;16,89149151
Dune fynbos-thicket mos.;180;12,01764112
Dune fynbos-thicket mos.;400;11
Dune fynbos-thicket mos.;300;8,398921524
Dune fynbos-thicket mos.;240;6,635943093
Dune fynbos-thicket mos.;180;4,721216154
Dune fynbos-thicket mos.;400;93
Dune fynbos-thicket mos.;300;71,00906379
Dune fynbos-thicket mos.;240;56,10388251
Dune fynbos-thicket mos.;180;39,91573658
Dune fynbos-thicket mos.;400;21
Dune fynbos-thicket mos.;300;16,03430473
Dune fynbos-thicket mos.;240;12,66861863
Dune fynbos-thicket mos.;180;9,01323084
Dune fynbos-thicket mos.;400;191
Dune fynbos-thicket mos.;300;145,8358192
Dune fynbos-thicket mos.;240;115,2241028
Dune fynbos-thicket mos.;180;81,9774805
Dune fynbos-thicket mos.;400;129
Dune fynbos-thicket mos.;300;98,49644332
Dune fynbos-thicket mos.;240;77,82151446
Dune fynbos-thicket mos.;180;55,36698944
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;36
Dune fynbos-thicket mos.;300;27,48737953
Dune fynbos-thicket mos.;240;21,71763194
Dune fynbos-thicket mos.;180;15,45125287
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;35
Dune fynbos-thicket mos.;300;26,72384121
Dune fynbos-thicket mos.;240;21,11436439
Dune fynbos-thicket mos.;180;15,0220514
Dune fynbos-thicket mos.;400;1220
Dune fynbos-thicket mos.;300;931,5167508
Dune fynbos-thicket mos.;240;735,9864158
Dune fynbos-thicket mos.;180;523,6257916
Dune fynbos-thicket mos.;400;55
Dune fynbos-thicket mos.;300;41,99460762
Dune fynbos-thicket mos.;240;33,17971547
Dune fynbos-thicket mos.;180;23,60608077
Dune fynbos-thicket mos.;400;140
Dune fynbos-thicket mos.;300;106,8953648
Dune fynbos-thicket mos.;240;84,45745755
Dune fynbos-thicket mos.;180;60,0882056
Dune fynbos-thicket mos.;400;53
Dune fynbos-thicket mos.;300;40,46753098
Dune fynbos-thicket mos.;240;31,97318036
Dune fynbos-thicket mos.;180;22,74767783
Dune fynbos-thicket mos.;400;79
Dune fynbos-thicket mos.;300;60,31952731
Dune fynbos-thicket mos.;240;47,65813676
Dune fynbos-thicket mos.;180;33,90691602
Dune fynbos-thicket mos.;400;388
Dune fynbos-thicket mos.;300;296,2528683
Dune fynbos-thicket mos.;240;234,0678109
Dune fynbos-thicket mos.;180;166,5301698
Dune fynbos-thicket mos.;400;118
Dune fynbos-thicket mos.;300;90,0975218
Dune fynbos-thicket mos.;240;71,18557136
Dune fynbos-thicket mos.;180;50,64577329
Dune fynbos-thicket mos.;400;53
Dune fynbos-thicket mos.;300;40,46753098
Dune fynbos-thicket mos.;240;31,97318036
Dune fynbos-thicket mos.;180;22,74767783
Dune fynbos-thicket mos.;400;9
Dune fynbos-thicket mos.;300;6,871844883
Dune fynbos-thicket mos.;240;5,429407985
Dune fynbos-thicket mos.;180;3,862813217
Dune fynbos-thicket mos.;400;94
Dune fynbos-thicket mos.;300;71,77260211
Dune fynbos-thicket mos.;240;56,70715007
Dune fynbos-thicket mos.;180;40,34493804
Dune fynbos-thicket mos.;400;0
Dune fynbos-thicket mos.;300;0
Dune fynbos-thicket mos.;240;0
Dune fynbos-thicket mos.;180;0
Dune fynbos-thicket mos.;400;7
Dune fynbos-thicket mos.;300;5,344768242
Dune fynbos-thicket mos.;240;4,222872877
Dune fynbos-thicket mos.;180;3,00441028
Dune fynbos-thicket mos.;400;63
Dune fynbos-thicket mos.;300;48,10291418
Dune fynbos-thicket mos.;240;38,0058559
Dune fynbos-thicket mos.;180;27,03969252
Dune fynbos-thicket mos.;400;30
Dune fynbos-thicket mos.;300;22,90614961
Dune fynbos-thicket mos.;240;18,09802662
Dune fynbos-thicket mos.;180;12,87604406
Dune fynbos-thicket mos.;400;3
Dune fynbos-thicket mos.;300;2,290614961
Dune fynbos-thicket mos.;240;1,809802662
Dune fynbos-thicket mos.;180;1,287604406
Dune fynbos-thicket mos.;400;17
Dune fynbos-thicket mos.;300;12,98015145
Dune fynbos-thicket mos.;240;10,25554842
Dune fynbos-thicket mos.;180;7,296424966
Dune fynbos-thicket mos.;400;68
Dune fynbos-thicket mos.;300;51,92060578
Dune fynbos-thicket mos.;240;41,02219367
Dune fynbos-thicket mos.;180;29,18569986
Dune fynbos-thicket mos.;400;114
Dune fynbos-thicket mos.;300;87,04336852
Dune fynbos-thicket mos.;240;68,77250115
Dune fynbos-thicket mos.;180;48,92896742
Dune fynbos-thicket mos.;400;188
Dune fynbos-thicket mos.;300;143,5452042
Dune fynbos-thicket mos.;240;113,4143001
