age;co2
592856;229
593631;233
594117;238
594934;238
595506;233
596292;221
596861;216
597874;216
598400;219
599288;226
599885;229
601325;232
602671;238
604019;239
605373;245
606696;248
608049;255
609317;259
610500;258
611621;258
611671;260
612832;258
614013;256
615211;253
616369;253
616427;253
617680;253
619024;248
620354;246
621721;244
623021;244
623125;239
624567;238
625468;235
626117;229
627039;216
627900;206
629210;200
629840;205
629936;201
631596;200
632427;196
634148;193
634951;196
635079;195
636592;194
637784;195
639488;189
640442;190
642145;191
642927;192
644371;195
645221;196
646447;190
647325;192
648682;193
649261;196
650418;189
651017;193
652174;187
652779;187
653800;193
654509;195
655594;200
656203;200
657251;193
657724;189
657792;191
658834;184
659364;187
659482;186
660534;188
661188;194
661286;192
662352;190
662867;194
662948;191
664008;191
664390;193
664478;188
665392;180
665907;181
666823;175
667480;174
668485;178
668986;181
669889;188
670366;192
671141;195
671528;197
672221;195
672831;197
673766;201
674299;205
675098;212
675477;216
676601;223
677222;220
677671;217
678398;218
678812;220
679525;229
679805;233
680383;234
680698;233
681296;226
681740;228
682414;221
682810;219
683528;220
683899;223
684494;226
684828;224
685365;222
685750;221
686339;221
686652;223
687224;223
687515;223
688070;227
688370;228
688880;228
689228;231
689763;232
690021;232
690545;236
690806;236
691292;239
691538;238
692038;239
692388;244
692902;239
693147;238
693644;244
693891;238
694350;239
694607;240
695019;239
695329;240
695802;237
696052;239
696505;238
696715;238
697160;239
697412;238
697817;240
698109;241
698576;241
698823;242
699286;239
699509;239
699935;240
700174;237
700555;237
700885;237
701339;235
701595;232
702063;231
702271;232
702804;232
703080;231
703539;233
703866;232
704321;233
704652;234
705123;234
705314;235
705797;237
706123;238
706563;236
706781;236
707381;239
707714;234
708270;234
708483;233
709029;235
709524;231
709980;231
710526;227
711053;225
711469;225
712091;224
712314;224
713383;224
714136;228
714474;227
715186;223
715635;228
716380;214
716656;211
717418;198
718025;190
718848;193
719357;201
720157;212
720661;217
721478;219
721760;219
722576;216
723065;212
723850;213
724212;214
725045;210
725544;211
726320;211
726647;211
727969;210
728664;210
729058;211
729907;210
730330;212
730978;210
731254;211
731931;212
732392;214
733064;208
733399;208
734092;211
734533;216
735205;215
735480;218
736177;217
736592;213
737340;207
737730;205
738651;192
739245;186
740176;185
740531;183
741400;185
741944;189
742715;189
743132;187
744029;188
744593;189
745741;187
746690;190
747247;188
748010;188
748407;188
749333;189
749884;190
750776;192
751106;191
752044;194
752636;197
753559;195
754005;204
755185;199
755657;203
756636;208
756921;209
757855;214
758432;218
759206;223
759632;227
759948;223
760178;225
760586;226
761010;223
761934;217
762236;215
763172;214
763841;220
764747;224
765252;223
765657;234
765921;229
766259;232
766879;231
767817;225
768187;224
769131;222
769721;226
770669;231
771091;230
771589;236
771883;234
772245;240
772545;244
772808;246
773066;244
773320;246
773754;238
774114;239
775029;238
775608;242
776402;245
776853;249
777752;247
778303;252
779128;255
779438;255
780259;254
780789;253
781633;257
781957;252
782798;257
783269;255
784332;261
785104;256
785589;260
786260;262
786633;264
787426;269
787874;266
788549;257
788762;257
789564;239
790023;235
790709;227
791127;231
792101;225
792687;214
793589;213
793923;218
795192;209
795757;205
796923;199
797449;198
798751;200
801306;199
802942;199
803779;203
803995;203
804080;207
804593;205
805202;202
805739;207
